timestamp,unix_time,motion_detected,motion_intensity,motion_area,brightness,sensor_type,device_id
2025-12-07T14:58:39.037599,1765119519,0,0.0,0,148.38,webcam_motion,webcam_001
2025-12-07T14:58:39.104606,1765119519,1,0.78,1619,151.08,webcam_motion,webcam_001
2025-12-07T14:58:39.171731,1765119519,1,1.41,2926,154.18,webcam_motion,webcam_001
2025-12-07T14:58:39.237427,1765119519,1,1.17,2426,156.7,webcam_motion,webcam_001
2025-12-07T14:58:39.373003,1765119519,1,1.05,2186,158.42,webcam_motion,webcam_001
2025-12-07T14:58:39.437785,1765119519,0,0.0,0,158.6,webcam_motion,webcam_001
2025-12-07T14:58:39.505200,1765119519,0,0.0,0,158.48,webcam_motion,webcam_001
2025-12-07T14:58:39.570892,1765119519,0,0.0,0,158.27,webcam_motion,webcam_001
2025-12-07T14:58:39.637667,1765119519,1,0.39,813,157.85,webcam_motion,webcam_001
2025-12-07T14:58:39.740405,1765119519,0,0.0,0,157.34,webcam_motion,webcam_001
2025-12-07T14:58:39.804379,1765119519,0,0.0,0,156.9,webcam_motion,webcam_001
2025-12-07T14:58:39.871968,1765119519,0,0.0,0,156.52,webcam_motion,webcam_001
2025-12-07T14:58:39.923737,1765119519,1,4.69,9724,155.91,webcam_motion,webcam_001
2025-12-07T14:58:39.991814,1765119519,0,0.0,0,155.5,webcam_motion,webcam_001
2025-12-07T14:58:40.099497,1765119520,1,6.5,13484,155.13,webcam_motion,webcam_001
2025-12-07T14:58:40.166732,1765119520,1,1.32,2742,154.54,webcam_motion,webcam_001
2025-12-07T14:58:40.232064,1765119520,1,0.5,1047,154.41,webcam_motion,webcam_001
2025-12-07T14:58:40.304381,1765119520,0,0.0,0,154.13,webcam_motion,webcam_001
2025-12-07T14:58:40.372626,1765119520,1,2.18,4527,153.71,webcam_motion,webcam_001
2025-12-07T14:58:40.476343,1765119520,1,5.43,11249,153.72,webcam_motion,webcam_001
2025-12-07T14:58:40.534806,1765119520,1,1.34,2773,153.34,webcam_motion,webcam_001
2025-12-07T14:58:40.605169,1765119520,0,0.0,0,153.2,webcam_motion,webcam_001
2025-12-07T14:58:40.669934,1765119520,0,0.0,0,153.0,webcam_motion,webcam_001
2025-12-07T14:58:40.725284,1765119520,1,17.46,36204,152.44,webcam_motion,webcam_001
2025-12-07T14:58:40.829298,1765119520,1,17.06,35366,152.56,webcam_motion,webcam_001
2025-12-07T14:58:40.890336,1765119520,0,0.0,0,152.51,webcam_motion,webcam_001
2025-12-07T14:58:40.961077,1765119520,1,2.15,4462,152.3,webcam_motion,webcam_001
2025-12-07T14:58:41.031968,1765119521,1,5.34,11074,152.46,webcam_motion,webcam_001
2025-12-07T14:58:41.102717,1765119521,0,0.0,0,152.17,webcam_motion,webcam_001
2025-12-07T14:58:41.211143,1765119521,1,0.34,700,152.01,webcam_motion,webcam_001
2025-12-07T14:58:41.272952,1765119521,0,0.0,0,151.93,webcam_motion,webcam_001
2025-12-07T14:58:41.335702,1765119521,0,0.0,0,151.78,webcam_motion,webcam_001
2025-12-07T14:58:41.400432,1765119521,0,0.0,0,151.65,webcam_motion,webcam_001
2025-12-07T14:58:41.469312,1765119521,1,0.44,912,151.43,webcam_motion,webcam_001
2025-12-07T14:58:41.574808,1765119521,1,3.07,6359,151.25,webcam_motion,webcam_001
2025-12-07T14:58:41.638156,1765119521,0,0.0,0,151.08,webcam_motion,webcam_001
2025-12-07T14:58:41.701948,1765119521,0,0.0,0,150.99,webcam_motion,webcam_001
2025-12-07T14:58:41.769182,1765119521,0,0.0,0,150.88,webcam_motion,webcam_001
2025-12-07T14:58:41.840002,1765119521,0,0.0,0,150.78,webcam_motion,webcam_001
2025-12-07T14:58:41.946372,1765119521,1,3.5,7259,150.5,webcam_motion,webcam_001
2025-12-07T14:58:42.005879,1765119522,0,0.0,0,150.42,webcam_motion,webcam_001
2025-12-07T14:58:42.069025,1765119522,0,0.0,0,150.37,webcam_motion,webcam_001
2025-12-07T14:58:42.135046,1765119522,0,0.0,0,150.32,webcam_motion,webcam_001
2025-12-07T14:58:42.207165,1765119522,1,0.81,1686,150.21,webcam_motion,webcam_001
2025-12-07T14:58:42.344207,1765119522,0,0.0,0,150.23,webcam_motion,webcam_001
2025-12-07T14:58:42.407623,1765119522,1,0.44,907,150.04,webcam_motion,webcam_001
2025-12-07T14:58:42.466705,1765119522,0,0.0,0,150.07,webcam_motion,webcam_001
2025-12-07T14:58:42.527176,1765119522,1,3.91,8097,149.79,webcam_motion,webcam_001
2025-12-07T14:58:42.593956,1765119522,0,0.0,0,149.78,webcam_motion,webcam_001
2025-12-07T14:58:42.725410,1765119522,1,22.67,47010,149.65,webcam_motion,webcam_001
2025-12-07T14:58:42.790704,1765119522,0,0.0,0,149.25,webcam_motion,webcam_001
2025-12-07T14:58:42.858244,1765119522,1,2.06,4279,148.31,webcam_motion,webcam_001
2025-12-07T14:58:42.925900,1765119522,1,4.73,9802,147.77,webcam_motion,webcam_001
